model,NoOfCoef,X.Intercept.,coef_1,coef_2,coef_3,intcpt_p.val,p.val_1,p.val_2,p.val_3,adjR2,BIC,DW,vif_1,vif_2,vif_3,BP,BP_p,shapiro,ks_test,cvm_test,ad_test,.id,X171,X172,X173,X174,X175,X176,X177,X178,X179,X180,X181,X182,X183,.id.1,X171.1,X172.1,X173.1,X174.1,X175.1,X176.1,X177.1,X178.1,X179.1,X180.1,X181.1,X182.1,X183.1,.id.2,X171.2,X172.2,X173.2,X174.2,X175.2,X176.2,X177.2,X178.2,X179.2,X180.2,X181.2,X182.2,X183.2
SF_loans ~ 1 + T10Y_QoQ_D_L1 + HPI_YoY_G_L1,2,-0.000471269083877381,-0.0222208976643918,0.153671285248155,-0.000471269083877381,0.769460711822178,3.92815979854368e-06,8.85605840829316e-13,0.769460711822178,0.564322141992999,-403.035491788592,1.06149699447374,1.03415930224392,1.03415930224392,,1.99878810809769,0.368102423780215,0.552422139056757,1.88737914186277e-15,0.340601722495147,0.35744609818255,2,0.00260425650955407,-0.00129637849315789,0.000982420349292078,-0.000553632093696658,0.00113767293658733,-0.00102995467874927,0.00338884860635509,0.00114362704851379,0.00119705343444689,-0.000898394057864384,0.0037461246793653,0.00394607845796972,0.00191938367468254,2,0.00260425650955407,0.037184946941514,-0.00834536342605889,-0.0143256915817592,-0.0163756152321162,-0.0161460639562157,-0.013197991433368,-0.0105221342696967,-0.00767126141629981,-0.00744537610593911,-0.00330998194962127,-0.00171766815032827,0.00112531569792163,2,0.00260425650955407,-0.00472665922920672,-0.0171901357659683,-0.0284433334113264,-0.0346378178772856,-0.0350749175587081,-0.0289436976926265,-0.02263493944155,-0.0151497170042114,-0.00807300906180056,-0.00232207450309003,0.00252990610722581,0.00464184420466883
SF_loans ~ 1 + T10Y_QoQ_D_L1 + HPI_YoY_G_L2,2,-0.000488844096579242,-0.021545152032254,0.152464223184075,-0.000488844096579242,0.761752253820282,6.82954930096283e-06,1.00140622076797e-12,0.761752253820282,0.562716355576073,-402.781644654604,1.09971482876098,1.02803638500874,1.02803638500874,,0.488182668039668,0.783416078455525,0.921425486734847,1.88737914186277e-15,0.873405550002066,0.873903618548264,2,0.00583140243784568,0.000458128980420964,0.000947283637501459,0.00100354727327121,-0.000520439736482076,-0.000996934825584285,0.00336612994094478,0.00118643781609775,0.00116348772102121,-0.000938020751534467,0.00349665717531026,0.00369542274895283,0.00173929072107743,2,0.00583140243784568,0.0413939178417036,-0.00276173214389164,-0.00825096833152344,-0.0141843220167764,-0.016218143862111,-0.0159903956728213,-0.0130654797631219,-0.0104106410067994,-0.00973667648274317,-0.00515341463465459,-0.00325513892851687,0.000479182717287895,2,0.00583140243784568,0.00476715938687177,-0.00471080886901609,-0.0170763868966985,-0.0282411925698323,-0.0343870204035956,-0.0348206867406376,-0.0287376265739749,-0.0224784225564303,-0.0150519952806649,-0.00803087368727205,-0.00232511175093935,0.00248875736886018
SF_loans ~ 1 + T_SP_QoQ_D_L1 + HPI_YoY_G_L2,2,0.00211942647573497,-0.0159725322605311,0.118540909731381,0.00211942647573497,0.189009170772613,8.04146626338368e-06,4.94892217365052e-09,0.189009170772613,0.560626561683135,-402.452676681634,1.05462278898597,1.05766639449655,1.05766639449655,,1.05808254258316,0.589169552758464,0.0153673791840819,1.88737914186277e-15,0.00123735680051698,0.00111223812559347,2,0.0103058056302026,0.00620596836384311,0.00810565725122516,0.00655214899320228,0.00536724933095922,0.00347740325570456,0.00831117464039192,0.0050970931356541,0.00507924944031378,0.00352320893908391,0.0052181530926342,0.00537269329512107,0.00392968295694203,2,0.0103058056302026,0.0237757538504273,-0.00755612774838756,-0.00383774189733138,-0.00845092346163026,-0.0100322196289707,-0.00985514544734139,-0.00758102378402536,-0.00551688706531043,-0.00491499774482706,-0.0014293943814337,4.65146838351159e-05,0.00287206717244214,2,0.0103058056302026,-0.0113638171227411,-0.00116315047593629,-0.0107773854626329,-0.0194580201310657,-0.0242364003126718,-0.024573575822042,-0.0198439974918109,-0.0149774673450089,-0.00920342129710219,-0.00374450035398639,0.000691728661045991,0.00443451115041654
SF_loans ~ 1 + T_SP_QoQ_D_L1 + HPI_YoY_G_L3,2,0.00216298357918016,-0.0168393551215322,0.116137495357593,0.00216298357918016,0.182904818507091,2.89605305175956e-06,7.54110585803883e-09,0.182904818507091,0.555099216002869,-401.590066849659,1.07491334660372,1.04072599727314,1.04072599727314,,0.422922332128042,0.809400712657872,0.0148020686767898,1.88737914186277e-15,0.000685039356768005,0.00111189511846022,2,0.0103445627751096,0.00861851512230666,0.00953454194344573,0.00658204126461003,0.00662489930436222,0.00209615243276558,0.00842616738523274,0.00509945628101565,0.0050802781121516,0.00337886068519406,0.00510317333506861,0.00519888358112957,0.00366635497220961,2,0.0103445627751096,0.027141805755992,-0.00393694215377999,0.000388879204171683,-0.00379246989494216,-0.00831211930307948,-0.00986135472492362,-0.00968787071848628,-0.00745985682257089,-0.00712150594321238,-0.00328301545195683,-0.001432951572695,0.00169696898043947,2,0.0103445627751096,-0.00990477551137871,0.00616667091913931,-0.00105303919599129,-0.0104723457768543,-0.0189769807656577,-0.0236584793927192,-0.02398881867595,-0.0193551324437852,-0.0145872710901601,-0.00893029370064228,-0.00358205226125044,0.000764232306718874
SF_loans ~ 1 + T10Y_QoQ_D_L1 + HPI_QoQ_G_L3,2,0.000309110588153341,-0.0218631990605697,0.574340906770823,0.000309110588153341,0.846796740298189,7.05404761978897e-06,2.66687236241769e-12,0.846796740298189,0.549708674662743,-400.759067906889,1.0792550323145,1.03169499069586,1.03169499069586,,1.22387931244883,0.542297976634052,0.711913907024732,1.88737914186277e-15,0.746236608235622,0.682099482349939,2,0.00169012550675994,0.00509519922763167,-0.00463986178085185,0.00162932381933875,0.00189848311598802,-0.000601036945010688,0.00375085384970127,0.00182913557562861,0.00180537109542347,-0.0006858811566978,0.00394683618524017,0.0044800685167723,0.0025397358915812,2,0.00169012550675994,0.046635277442714,-0.00463986178085185,-0.0121045976348605,-0.0191327247764417,-0.0162932427588802,-0.0128889495189328,-0.0111795753030217,-0.00742009629780945,-0.00801428352676932,-0.00187720931790363,-0.00187720931790362,0.00196666010264348,2,0.00169012550675994,0.00946783903974561,-0.00245354187479488,-0.0251132546568539,-0.0443295758044685,-0.0384775480509151,-0.0306210403800062,-0.0271209752438846,-0.0170533077546266,-0.0114910213965111,0.000309110588153341,0.000724547048747049,0.00487560858199433
SF_loans ~ 1 + T_SP_QoQ_D_L1 + HPI_QoQ_G_L4,2,0.002812349549538,-0.0166028337002321,0.435263295592316,0.002812349549538,0.0815451724403408,5.08508954470583e-06,1.74333169634422e-08,0.0815451724403408,0.543905216158323,-399.875461891561,1.04872083328455,1.0470990658613,1.0470990658613,,0.329714861009616,0.848014596482864,0.0591123359293764,1.88737914186277e-15,0.00681046056185503,0.00927250239290863,2,0.011803383161116,0.00551584827992511,0.0130738433283507,0.00237896137114252,0.00713005319282898,0.00401346837557047,0.00875696027205503,0.00542066892387393,0.00562119682811835,0.00394290358651852,0.00537209448808624,0.00556919380907521,0.00431301966965511,2,0.011803383161116,0.0237789653501805,-0.000208423631834987,-0.000941605368903915,-0.00659874295084952,-0.0119249973503243,-0.00977310065244185,-0.0071931627143395,-0.00589771632379557,-0.00470888481757029,-0.00184200636110301,0.00115206617951479,0.002812349549538,2,0.011803383161116,-0.0127472687903303,0.0097532765883043,0.000718678001119298,-0.0164539474316533,-0.0310170042734474,-0.0265820548281248,-0.0206280136299925,-0.0179754951205562,-0.0103457301523252,-0.00613036073893323,0.002812349549538,0.00312718737636788
SF_loans ~ 1 + T_SP_QoQ_D_L1 + HPI_YoY_G_L1,2,0.00227316761736087,-0.0155833272704763,0.116279361127946,0.00227316761736087,0.166765458526988,1.89933282068391e-05,1.75318924607836e-08,0.166765458526988,0.543829003381078,-399.86393305478,1.00770710173203,1.07059606647325,1.07059606647325,,2.91989120507753,0.232248908137121,0.0168062053728057,1.88737914186277e-15,0.00176874066987824,0.00133109994697452,2,0.00784007832013507,0.00501163083233061,0.00817120667868323,0.00545058005631663,0.00673034984594467,0.00365489459013489,0.0083106911756497,0.00517652245201621,0.00521694891173927,0.00375444334396607,0.00546436792275905,0.00561566813212279,0.00420518608369628,2,0.00784007832013507,0.0193245486077979,-0.0113535645065752,-0.00808707117987812,-0.00963819904374454,-0.00946450312088743,-0.00723376763271859,-0.00520901095186644,-0.0030518241129936,-0.00275783304690212,0.000248251039412919,0.00145311654826845,0.00348126487583304,2,0.00784007832013507,-0.0180884436329297,-0.0103775962090592,-0.0188926198892197,-0.0235798371208291,-0.0239105799243592,-0.0192712334920594,-0.0144975480389755,-0.00883366046551784,-0.0034788859733036,0.000872707724215209,0.00454408461588132,0.00614213731854389
SF_loans ~ 1 + T_SP_QoQ_D_L1 + HPI_YoY_G_L4,2,0.00228334630380964,-0.0179035563255716,0.112430371021977,0.00228334630380964,0.165563530864115,9.51415731301779e-07,1.94426095203936e-08,0.165563530864115,0.542428649198481,-399.652441238691,1.08623193824893,1.02413975481337,1.02413975481337,,0.753460209438859,0.686101224391731,0.0183851298699364,1.88737914186277e-15,0.00246794401832432,0.00356227485075877,2,0.0112553776183873,0.00857358433491424,0.0121135276845229,0.00794959104265075,0.00672151864521769,0.00318229738551271,0.00742954374771098,0.00508624031555059,0.00512608640550312,0.00331716477378893,0.00509059651659308,0.00512968481069514,0.00343198434038431,2,0.0112553776183873,0.028267496293043,-0.00220931737593439,0.00436887977753643,0.000405700010521145,-0.00364217986787887,-0.00801756146433511,-0.00951734508496523,-0.00934939871114278,-0.00898285894838773,-0.00523476857555323,-0.00314898727863562,0.000432377947501193,2,0.0112553776183873,-0.0111203276232145,0.00853281641940855,0.00615923541009358,-0.000830020595608447,-0.00994866165459985,-0.018181827560697,-0.0227138921274312,-0.0230336869366993,-0.0185479085868423,-0.0139322380032907,-0.00845583208625158,-0.00327830722664885
SF_loans ~ 1 + T_SP_QoQ_D_L1 + HPI_QoQ_G_L3,2,0.00283377353064216,-0.0158350299319699,0.437133841419374,0.00283377353064216,0.0807578169098088,1.49844129354264e-05,2.37455872325948e-08,0.0807578169098088,0.539710668546729,-399.243792700264,1.02665422872268,1.06530366323383,1.06530366323383,,1.43522027080544,0.487916919083394,0.0615299601245804,1.88737914186277e-15,0.00832865066492368,0.0095495967405715,2,0.00713239355128873,0.0098045292322885,0.00389811040641132,0.00708611707180786,0.0072909756077592,0.00388559135986788,0.00862030815475518,0.00565469184210995,0.00563660457303518,0.00382101599053626,0.00560246533987572,0.00600831123158174,0.00461203043300393,2,0.00713239355128873,0.0272230621574554,-0.00876991353916458,-0.00653384772746355,-0.0118829917274208,-0.00972184724450972,-0.00713082201236477,-0.00582980843555784,-0.00296844947625307,-0.00334017203559272,0.00125027053744517,0.00125027053744518,0.00409534305854802,2,0.00713239355128873,-0.00761400369287838,0.000731104420017351,-0.016515320442131,-0.0311409620814039,-0.0266869534223545,-0.0207073247073557,-0.018043406988569,-0.0103808530735849,-0.00614736809256849,0.00283377353064216,0.00314996437434513,0.00630935882562812
SF_loans ~ 1 + T5Y_QoQ_D_L1 + HPI_YoY_G_L1,2,-0.000662883067622952,-0.0188162822100013,0.161659744500504,-0.000662883067622952,0.692357885871817,3.31061766957797e-05,1.17171082910203e-12,0.692357885871817,0.536410180335166,-398.750796067263,1.01889796211361,1.09240708445144,1.09240708445144,,0.140025007046637,0.932382161770963,0.5071403077903,1.88737914186277e-15,0.522335195370489,0.549617130406035,2,0.00114686747184157,0.0012626928391062,-0.000559278337157451,-0.000293552820894527,-0.000395955088089391,0.00154296644843141,0.00339789926095037,0.00149193676382398,0.00342976869188351,0.00168136612618665,0.00377374799928626,0.00210246796863869,0.00418964859978508,2,0.00114686747184157,0.0387257973493887,-0.0084903300806941,-0.0147815400495473,-0.0169380270798153,-0.0166965427937177,-0.0135952174547457,-0.0107802583379503,-0.00589955728210454,-0.00520595471213408,-0.00131156074690269,-0.0015181002124294,-0.000864929527578879,2,0.00114686747184157,-0.00137622928130436,-0.0182508645294834,-0.0300890492184742,-0.0366055482147715,-0.0370653701177764,-0.0306154244729112,-0.0239787112747523,-0.0161043764906348,-0.00865979244861665,-0.00260990089015826,0.00249430543256772,0.00471603067344266
SF_loans ~ 1 + T5Y_YoY_D + T_SP_QoQ_D_L1 + HPI_YoY_G_L2,3,-0.000550103271591078,-0.00732276958460366,-0.0182666134946935,0.149514913746101,0.736205151030598,0.00040064854629162,1.24684157349969e-07,1.05492930240611e-11,0.632620002049891,-411.619781311398,1.35413074766404,1.37622403777552,1.10160692911851,1.33810908804451,3.15181374464153,0.368805551613065,0.107363296482766,1.88737914186277e-15,0.115578546710323,0.0828833864144058,3,0.00226461213282271,-0.0019862659764872,0.00223074223944649,0.00045925614666016,-0.00103525044350782,-0.00157845918929064,0.00395451396382479,0.00174105528941084,0.00171854914722106,-5.61308482064466e-05,0.00189374746181783,0.00208866806009474,0.00118882926628675,3,0.0183747052189508,0.0349493789122641,0.000822553917852201,0.005305086715153,-0.0166235836473283,-0.0186180626892279,-0.0183947201229107,-0.0147941076243459,-0.0121906247916414,-0.0105112443371986,-0.00630281867913185,-0.00517354069347373,-0.00106535614885403,3,0.00446144300820381,-0.0184181560283482,-0.004690397208142,-0.0153522182113063,-0.0277656027610712,-0.033792544028165,-0.0342178214055281,-0.0282524336106955,-0.0221143093395834,-0.0148315408947057,-0.0079462377887462,-0.00235084966456574,0.00236989866052083
